Infinitive,моли́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,моля́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,моли́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,моля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,моли́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,молю́сь
2nd Sing,мо́лишься
3rd Sing,мо́лится
1st Pl,мо́лимся
2nd Pl,мо́литесь
3rd Pl,мо́лятся
Past M,моли́лся
Past F,моли́лась
Past N,моли́лось
Past PL,моли́лись
Imp S,моли́сь
Imp PL,моли́тесь
