Infinitive,моргну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,моргну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,моргну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,моргну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,моргну́
2nd Sing,моргнёшь
3rd Sing,моргнёт
1st Pl,моргнём
2nd Pl,моргнёте
3rd Pl,моргну́т
Past M,моргну́л
Past F,моргну́ла
Past N,моргну́ло
Past PL,моргну́ли
Imp S,моргни́
Imp PL,моргни́те
