Infinitive,мобилизова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,мобилизу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мобилизова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мобилизу́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мобилизо́ванный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,мобилизу́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,мобилизова́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,мобилизова́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,мобилизу́ю
2nd Sing,мобилизу́ешь
3rd Sing,мобилизу́ет
1st Pl,мобилизу́ем
2nd Pl,мобилизу́ете
3rd Pl,мобилизу́ют
Past M,мобилизова́л
Past F,мобилизова́ла
Past N,мобилизова́ло
Past PL,мобилизова́ли
Imp S,мобилизу́й
Imp PL,мобилизу́йте
