Infinitive,мота́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,мота́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мота́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мота́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мота́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мота́юсь
2nd Sing,мота́ешься
3rd Sing,мота́ется
1st Pl,мота́емся
2nd Pl,мота́етесь
3rd Pl,мота́ются
Past M,мота́лся
Past F,мота́лась
Past N,мота́лось
Past PL,мота́лись
Imp S,мота́йся
Imp PL,мота́йтесь
