Infinitive,мо́кнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мо́кнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мо́кший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,мо́кнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,мо́кнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мо́кши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мо́кну
2nd Sing,мо́кнешь
3rd Sing,мо́кнет
1st Pl,мо́кнем
2nd Pl,мо́кнете
3rd Pl,мо́кнут
Past M,мо́к
Past F,мо́кла
Past N,мо́кло
Past PL,мо́кли
Imp S,мо́кни
Imp PL,мо́кните
