Infinitive,мочи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,моча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мочи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,моча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мочи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мочу́сь
2nd Sing,мо́чишься
3rd Sing,мо́чится
1st Pl,мо́чимся
2nd Pl,мо́читесь
3rd Pl,мо́чатся
Past M,мочи́лся
Past F,мочи́лась
Past N,мочи́лось
Past PL,мочи́лись
Imp S,мочи́сь
Imp PL,мочи́тесь
