Infinitive,мороси́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,морося́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мороси́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,морося́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мороси́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мороси́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,морошу́
2nd Sing,мороси́шь
3rd Sing,мороси́т
1st Pl,мороси́м
2nd Pl,мороси́те
3rd Pl,морося́т
Past M,мороси́л
Past F,мороси́ла
Past N,мороси́ло
Past PL,мороси́ли
Imp S,мороси́
Imp PL,мороси́те
