Infinitive,мочи́ть
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,мо́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мочи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мочи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мо́ченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,моча́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,мочи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,мочи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,мочу́
2nd Sing,мо́чишь
3rd Sing,мо́чит
1st Pl,мо́чим
2nd Pl,мо́чите
3rd Pl,мо́чат
Past M,мочи́л
Past F,мочи́ла
Past N,мочи́ло
Past PL,мочи́ли
Imp S,мочи́
Imp PL,мочи́те
