Infinitive,моло́ть
Zaliznyak Class,10c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ме́лющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,моло́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мо́лотый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,меля́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,моло́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,моло́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,мелю́
2nd Sing,ме́лешь
3rd Sing,ме́лет
1st Pl,ме́лем
2nd Pl,ме́лете
3rd Pl,ме́лют
Past M,моло́л
Past F,моло́ла
Past N,моло́ло
Past PL,моло́ли
Imp S,мели́
Imp PL,мели́те
