Infinitive,морга́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,морга́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,морга́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,морга́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,морга́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,морга́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,морга́ю
2nd Sing,морга́ешь
3rd Sing,морга́ет
1st Pl,морга́ем
2nd Pl,морга́ете
3rd Pl,морга́ют
Past M,морга́л
Past F,морга́ла
Past N,морга́ло
Past PL,морга́ли
Imp S,морга́й
Imp PL,морга́йте
