Infinitive,мо́чь
Zaliznyak Class,8c/b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,могу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мо́гший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,могу́
2nd Sing,мо́жешь
3rd Sing,мо́жет
1st Pl,мо́жем
2nd Pl,мо́жете
3rd Pl,мо́гут
Past M,мо́г
Past F,могла́
Past N,могло́
Past PL,могли́
Imp S,моги́
Imp PL,моги́те
