Infinitive,лысе́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лысе́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лысе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лысе́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лысе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,лысе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,лысе́ю
2nd Sing,лысе́ешь
3rd Sing,лысе́ет
1st Pl,лысе́ем
2nd Pl,лысе́ете
3rd Pl,лысе́ют
Past M,лысе́л
Past F,лысе́ла
Past N,лысе́ло
Past PL,лысе́ли
Imp S,лысе́й
Imp PL,лысе́йте
