Infinitive,баба́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,баба́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,баба́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,баба́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,баба́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,баба́хну
2nd Sing,баба́хнешь
3rd Sing,баба́хнет
1st Pl,баба́хнем
2nd Pl,баба́хнете
3rd Pl,баба́хнут
Past M,баба́хнул
Past F,баба́хнула
Past N,баба́хнуло
Past PL,баба́хнули
Imp S,баба́хни
Imp PL,баба́хните
