Infinitive,баллоти́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,баллоти́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,баллоти́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,баллоти́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,баллоти́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,баллоти́руюсь
2nd Sing,баллоти́руешься
3rd Sing,баллоти́руется
1st Pl,баллоти́руемся
2nd Pl,баллоти́руетесь
3rd Pl,баллоти́руются
Past M,баллоти́ровался
Past F,баллоти́ровалась
Past N,баллоти́ровалось
Past PL,баллоти́ровались
Imp S,баллоти́руйся
Imp PL,баллоти́руйтесь
