Infinitive,балде́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,балде́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,балде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,балде́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,балде́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,балде́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,балде́ю
2nd Sing,балде́ешь
3rd Sing,балде́ет
1st Pl,балде́ем
2nd Pl,балде́ете
3rd Pl,балде́ют
Past M,балде́л
Past F,балде́ла
Past N,балде́ло
Past PL,балде́ли
Imp S,балде́й
Imp PL,балде́йте
