Infinitive,база́рить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,база́рящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,база́ривший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,база́ря
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,база́рив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,база́ривши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,база́рю
2nd Sing,база́ришь
3rd Sing,база́рит
1st Pl,база́рим
2nd Pl,база́рите
3rd Pl,база́рят
Past M,база́рил
Past F,база́рила
Past N,база́рило
Past PL,база́рили
Imp S,база́рь
Imp PL,база́рьте
