Infinitive,бараба́нить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,бараба́нящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бараба́нивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бараба́ня
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бараба́нив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,бараба́нивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,бараба́ню
2nd Sing,бараба́нишь
3rd Sing,бараба́нит
1st Pl,бараба́ним
2nd Pl,бараба́ните
3rd Pl,бараба́нят
Past M,бараба́нил
Past F,бараба́нила
Past N,бараба́нило
Past PL,бараба́нили
Imp S,бараба́нь
Imp PL,бараба́ньте
