Infinitive,багрове́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,багрове́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,багрове́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,багрове́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,багрове́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,багрове́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,багрове́ю
2nd Sing,багрове́ешь
3rd Sing,багрове́ет
1st Pl,багрове́ем
2nd Pl,багрове́ете
3rd Pl,багрове́ют
Past M,багрове́л
Past F,багрове́ла
Past N,багрове́ло
Past PL,багрове́ли
Imp S,багрове́й
Imp PL,багрове́йте
