Infinitive,балова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,балу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,балова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,балу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,балова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,балу́юсь
2nd Sing,балу́ешься
3rd Sing,балу́ется
1st Pl,балу́емся
2nd Pl,балу́етесь
3rd Pl,балу́ются
Past M,балова́лся
Past F,балова́лась
Past N,балова́лось
Past PL,балова́лись
Imp S,балу́йся
Imp PL,балу́йтесь
