Infinitive,баланси́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,баланси́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,баланси́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,баланси́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,баланси́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,баланси́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,баланси́рую
2nd Sing,баланси́руешь
3rd Sing,баланси́рует
1st Pl,баланси́руем
2nd Pl,баланси́руете
3rd Pl,баланси́руют
Past M,баланси́ровал
Past F,баланси́ровала
Past N,баланси́ровало
Past PL,баланси́ровали
Imp S,баланси́руй
Imp PL,баланси́руйте
