Infinitive,бази́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,бази́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,бази́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бази́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,бази́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бази́руюсь
2nd Sing,бази́руешься
3rd Sing,бази́руется
1st Pl,бази́руемся
2nd Pl,бази́руетесь
3rd Pl,бази́руются
Past M,бази́ровался
Past F,бази́ровалась
Past N,бази́ровалось
Past PL,бази́ровались
Imp S,бази́руйся
Imp PL,бази́руйтесь
