Infinitive,вгля́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вгля́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вгля́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вгля́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вгля́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вгля́дываюсь
2nd Sing,вгля́дываешься
3rd Sing,вгля́дывается
1st Pl,вгля́дываемся
2nd Pl,вгля́дываетесь
3rd Pl,вгля́дываются
Past M,вгля́дывался
Past F,вгля́дывалась
Past N,вгля́дывалось
Past PL,вгля́дывались
Imp S,вгля́дывайся
Imp PL,вгля́дывайтесь
