Infinitive,вгрыза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вгрыза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вгрыза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вгрыза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вгрыза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вгрыза́юсь
2nd Sing,вгрыза́ешься
3rd Sing,вгрыза́ется
1st Pl,вгрыза́емся
2nd Pl,вгрыза́етесь
3rd Pl,вгрыза́ются
Past M,вгрыза́лся
Past F,вгрыза́лась
Past N,вгрыза́лось
Past PL,вгрыза́лись
Imp S,вгрыза́йся
Imp PL,вгрыза́йтесь
