Infinitive,вгляде́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вгляде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вгляде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вгляжу́сь
2nd Sing,вгляди́шься
3rd Sing,вгляди́тся
1st Pl,вгляди́мся
2nd Pl,вгляди́тесь
3rd Pl,вглядя́тся
Past M,вгляде́лся
Past F,вгляде́лась
Past N,вгляде́лось
Past PL,вгляде́лись
Imp S,вгляди́сь
Imp PL,вгляди́тесь
