Infinitive,протори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,протори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проторённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,протори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,протори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проторю́
2nd Sing,протори́шь
3rd Sing,протори́т
1st Pl,протори́м
2nd Pl,протори́те
3rd Pl,проторя́т
Past M,протори́л
Past F,протори́ла
Past N,протори́ло
Past PL,протори́ли
Imp S,протори́
Imp PL,протори́те
