Infinitive,прикры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикро́ю
2nd Sing,прикро́ешь
3rd Sing,прикро́ет
1st Pl,прикро́ем
2nd Pl,прикро́ете
3rd Pl,прикро́ют
Past M,прикры́л
Past F,прикры́ла
Past N,прикры́ло
Past PL,прикры́ли
Imp S,прикро́й
Imp PL,прикро́йте
