Infinitive,пробубни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пробубни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробубнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пробубни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пробубни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробубню́
2nd Sing,пробубни́шь
3rd Sing,пробубни́т
1st Pl,пробубни́м
2nd Pl,пробубни́те
3rd Pl,пробубня́т
Past M,пробубни́л
Past F,пробубни́ла
Past N,пробубни́ло
Past PL,пробубни́ли
Imp S,пробубни́
Imp PL,пробубни́те
