Infinitive,присоедини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,присоедини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присоедини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,присоединю́сь
2nd Sing,присоедини́шься
3rd Sing,присоедини́тся
1st Pl,присоедини́мся
2nd Pl,присоедини́тесь
3rd Pl,присоединя́тся
Past M,присоедини́лся
Past F,присоедини́лась
Past N,присоедини́лось
Past PL,присоедини́лись
Imp S,присоедини́сь
Imp PL,присоедини́тесь
