Infinitive,прорыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прорыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прорыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прорыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прорыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прорыва́юсь
2nd Sing,прорыва́ешься
3rd Sing,прорыва́ется
1st Pl,прорыва́емся
2nd Pl,прорыва́етесь
3rd Pl,прорыва́ются
Past M,прорыва́лся
Past F,прорыва́лась
Past N,прорыва́лось
Past PL,прорыва́лись
Imp S,прорыва́йся
Imp PL,прорыва́йтесь
