Infinitive,противопоста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,противопоста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,противопоста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,противопоста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,противопоста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,противопоста́влю
2nd Sing,противопоста́вишь
3rd Sing,противопоста́вит
1st Pl,противопоста́вим
2nd Pl,противопоста́вите
3rd Pl,противопоста́вят
Past M,противопоста́вил
Past F,противопоста́вила
Past N,противопоста́вило
Past PL,противопоста́вили
Imp S,противопоста́вь
Imp PL,противопоста́вьте
