Infinitive,припля́сывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,припля́сывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,припля́сывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припля́сывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,припля́сывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,припля́сывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,припля́сываю
2nd Sing,припля́сываешь
3rd Sing,припля́сывает
1st Pl,припля́сываем
2nd Pl,припля́сываете
3rd Pl,припля́сывают
Past M,припля́сывал
Past F,припля́сывала
Past N,припля́сывало
Past PL,припля́сывали
Imp S,припля́сывай
Imp PL,припля́сывайте
