Infinitive,прогуде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прогуде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогуде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прогуде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прогужу́
2nd Sing,прогуди́шь
3rd Sing,прогуди́т
1st Pl,прогуди́м
2nd Pl,прогуди́те
3rd Pl,прогудя́т
Past M,прогуде́л
Past F,прогуде́ла
Past N,прогуде́ло
Past PL,прогуде́ли
Imp S,прогуди́
Imp PL,прогуди́те
