Infinitive,прекрати́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прекрати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прекрати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прекращу́сь
2nd Sing,прекрати́шься
3rd Sing,прекрати́тся
1st Pl,прекрати́мся
2nd Pl,прекрати́тесь
3rd Pl,прекратя́тся
Past M,прекрати́лся
Past F,прекрати́лась
Past N,прекрати́лось
Past PL,прекрати́лись
Imp S,прекрати́сь
Imp PL,прекрати́тесь
