Infinitive,прикупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прику́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикуплю́
2nd Sing,прику́пишь
3rd Sing,прику́пит
1st Pl,прику́пим
2nd Pl,прику́пите
3rd Pl,прику́пят
Past M,прикупи́л
Past F,прикупи́ла
Past N,прикупи́ло
Past PL,прикупи́ли
Imp S,прикупи́
Imp PL,прикупи́те
