Infinitive,прикри́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прикри́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикри́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прикри́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прикри́кну
2nd Sing,прикри́кнешь
3rd Sing,прикри́кнет
1st Pl,прикри́кнем
2nd Pl,прикри́кнете
3rd Pl,прикри́кнут
Past M,прикри́кнул
Past F,прикри́кнула
Past N,прикри́кнуло
Past PL,прикри́кнули
Imp S,прикри́кни
Imp PL,прикри́кните
