Infinitive,прикури́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прику́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикурю́
2nd Sing,прику́ришь
3rd Sing,прику́рит
1st Pl,прику́рим
2nd Pl,прику́рите
3rd Pl,прику́рят
Past M,прикури́л
Past F,прикури́ла
Past N,прикури́ло
Past PL,прикури́ли
Imp S,прикури́
Imp PL,прикури́те
