Infinitive,прова́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прова́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прова́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прова́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прова́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прова́ливаюсь
2nd Sing,прова́ливаешься
3rd Sing,прова́ливается
1st Pl,прова́ливаемся
2nd Pl,прова́ливаетесь
3rd Pl,прова́ливаются
Past M,прова́ливался
Past F,прова́ливалась
Past N,прова́ливалось
Past PL,прова́ливались
Imp S,прова́ливайся
Imp PL,прова́ливайтесь
