Infinitive,присва́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,присва́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,присва́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присва́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,присва́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присва́иваюсь
2nd Sing,присва́иваешься
3rd Sing,присва́ивается
1st Pl,присва́иваемся
2nd Pl,присва́иваетесь
3rd Pl,присва́иваются
Past M,присва́ивался
Past F,присва́ивалась
Past N,присва́ивалось
Past PL,присва́ивались
Imp S,присва́ивайся
Imp PL,присва́ивайтесь
