Infinitive,приложи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приложи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приложи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приложу́сь
2nd Sing,прило́жишься
3rd Sing,прило́жится
1st Pl,прило́жимся
2nd Pl,прило́житесь
3rd Pl,прило́жатся
Past M,приложи́лся
Past F,приложи́лась
Past N,приложи́лось
Past PL,приложи́лись
Imp S,приложи́сь
Imp PL,приложи́тесь
