Infinitive,прода́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прода́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прода́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прода́мся
2nd Sing,прода́шься
3rd Sing,прода́стся
1st Pl,продади́мся
2nd Pl,продади́тесь
3rd Pl,продаду́тся
Past M,прода́лся
Past F,продала́сь
Past N,продало́сь
Past PL,продали́сь
Imp S,прода́йся
Imp PL,прода́йтесь
