Infinitive,прицепи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прицепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прицепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прицеплю́сь
2nd Sing,прице́пишься
3rd Sing,прице́пится
1st Pl,прице́пимся
2nd Pl,прице́питесь
3rd Pl,прице́пятся
Past M,прицепи́лся
Past F,прицепи́лась
Past N,прицепи́лось
Past PL,прицепи́лись
Imp S,прицепи́сь
Imp PL,прицепи́тесь
