Infinitive,притвори́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,притвори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,притвори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,притворю́сь
2nd Sing,притвори́шься
3rd Sing,притвори́тся
1st Pl,притвори́мся
2nd Pl,притвори́тесь
3rd Pl,притворя́тся
Past M,притвори́лся
Past F,притвори́лась
Past N,притвори́лось
Past PL,притвори́лись
Imp S,притвори́сь
Imp PL,притвори́тесь
