Infinitive,промыча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,промыча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промыча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,промыча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,промычу́
2nd Sing,промычи́шь
3rd Sing,промычи́т
1st Pl,промычи́м
2nd Pl,промычи́те
3rd Pl,промыча́т
Past M,промыча́л
Past F,промыча́ла
Past N,промыча́ло
Past PL,промыча́ли
Imp S,промычи́
Imp PL,промычи́те
