Infinitive,преобрази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,преобрази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преобрази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,преображу́сь
2nd Sing,преобрази́шься
3rd Sing,преобрази́тся
1st Pl,преобрази́мся
2nd Pl,преобрази́тесь
3rd Pl,преобразя́тся
Past M,преобрази́лся
Past F,преобрази́лась
Past N,преобрази́лось
Past PL,преобрази́лись
Imp S,преобрази́сь
Imp PL,преобрази́тесь
