Infinitive,пригляде́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригляде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригляде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пригляжу́сь
2nd Sing,пригляди́шься
3rd Sing,пригляди́тся
1st Pl,пригляди́мся
2nd Pl,пригляди́тесь
3rd Pl,приглядя́тся
Past M,пригляде́лся
Past F,пригляде́лась
Past N,пригляде́лось
Past PL,пригляде́лись
Imp S,пригляди́сь
Imp PL,пригляди́тесь
