Infinitive,пристрасти́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пристрасти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристрасти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пристращу́сь
2nd Sing,пристрасти́шься
3rd Sing,пристрасти́тся
1st Pl,пристрасти́мся
2nd Pl,пристрасти́тесь
3rd Pl,пристрастя́тся
Past M,пристрасти́лся
Past F,пристрасти́лась
Past N,пристрасти́лось
Past PL,пристрасти́лись
Imp S,пристрасти́сь
Imp PL,пристрасти́тесь
