Infinitive,прослези́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прослези́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прослези́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прослежу́сь
2nd Sing,прослези́шься
3rd Sing,прослези́тся
1st Pl,прослези́мся
2nd Pl,прослези́тесь
3rd Pl,прослезя́тся
Past M,прослези́лся
Past F,прослези́лась
Past N,прослези́лось
Past PL,прослези́лись
Imp S,прослези́сь
Imp PL,прослези́тесь
