Infinitive,припо́мнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,припо́мнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припо́мненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припо́мнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,припо́мнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,припо́мню
2nd Sing,припо́мнишь
3rd Sing,припо́мнит
1st Pl,припо́мним
2nd Pl,припо́мните
3rd Pl,припо́мнят
Past M,припо́мнил
Past F,припо́мнила
Past N,припо́мнило
Past PL,припо́мнили
Imp S,припо́мни
Imp PL,припо́мните
