Infinitive,просочи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просочи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просочи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,просочу́сь
2nd Sing,просочи́шься
3rd Sing,просочи́тся
1st Pl,просочи́мся
2nd Pl,просочи́тесь
3rd Pl,просоча́тся
Past M,просочи́лся
Past F,просочи́лась
Past N,просочи́лось
Past PL,просочи́лись
Imp S,просочи́сь
Imp PL,просочи́тесь
