Infinitive,произноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,произнося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,произноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,произнося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,произноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,произношу́сь
2nd Sing,произно́сишься
3rd Sing,произно́сится
1st Pl,произно́симся
2nd Pl,произно́ситесь
3rd Pl,произно́сятся
Past M,произноси́лся
Past F,произноси́лась
Past N,произноси́лось
Past PL,произноси́лись
Imp S,произноси́сь
Imp PL,произноси́тесь
