Infinitive,прочи́стить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прочи́стивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прочи́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прочи́стив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прочи́стивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прочи́щу
2nd Sing,прочи́стишь
3rd Sing,прочи́стит
1st Pl,прочи́стим
2nd Pl,прочи́стите
3rd Pl,прочи́стят
Past M,прочи́стил
Past F,прочи́стила
Past N,прочи́стило
Past PL,прочи́стили
Imp S,прочи́сти
Imp PL,прочи́стите
