Infinitive,преврати́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,преврати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преврати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,превращу́сь
2nd Sing,преврати́шься
3rd Sing,преврати́тся
1st Pl,преврати́мся
2nd Pl,преврати́тесь
3rd Pl,превратя́тся
Past M,преврати́лся
Past F,преврати́лась
Past N,преврати́лось
Past PL,преврати́лись
Imp S,преврати́сь
Imp PL,преврати́тесь
