Infinitive,протолкну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,протолкну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прото́лкнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,протолкну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,протолкну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,протолкну́
2nd Sing,протолкнёшь
3rd Sing,протолкнёт
1st Pl,протолкнём
2nd Pl,протолкнёте
3rd Pl,протолкну́т
Past M,протолкну́л
Past F,протолкну́ла
Past N,протолкну́ло
Past PL,протолкну́ли
Imp S,протолкни́
Imp PL,протолкни́те
