Infinitive,препя́тствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,препя́тствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,препя́тствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,препя́тствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,препя́тствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,препя́тствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,препя́тствую
2nd Sing,препя́тствуешь
3rd Sing,препя́тствует
1st Pl,препя́тствуем
2nd Pl,препя́тствуете
3rd Pl,препя́тствуют
Past M,препя́тствовал
Past F,препя́тствовала
Past N,препя́тствовало
Past PL,препя́тствовали
Imp S,препя́тствуй
Imp PL,препя́тствуйте
