Infinitive,предприня́ть
Zaliznyak Class,14c/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предприня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предпри́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предприня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предприня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предприму́
2nd Sing,предпри́мешь
3rd Sing,предпри́мет
1st Pl,предпри́мем
2nd Pl,предпри́мете
3rd Pl,предпри́мут
Past M,предпри́нял
Past F,предприняла́
Past N,предпри́няло
Past PL,предпри́няли
Imp S,предприми́
Imp PL,предприми́те
