Infinitive,продра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,продеру́сь
2nd Sing,продерёшься
3rd Sing,продерётся
1st Pl,продерёмся
2nd Pl,продерётесь
3rd Pl,продеру́тся
Past M,продра́лся
Past F,продрала́сь
Past N,продрало́сь
Past PL,продрали́сь
Imp S,продери́сь
Imp PL,продери́тесь
