Infinitive,применя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,применя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,применя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,применя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,применя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,применя́юсь
2nd Sing,применя́ешься
3rd Sing,применя́ется
1st Pl,применя́емся
2nd Pl,применя́етесь
3rd Pl,применя́ются
Past M,применя́лся
Past F,применя́лась
Past N,применя́лось
Past PL,применя́лись
Imp S,применя́йся
Imp PL,применя́йтесь
