Infinitive,просле́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,просле́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просле́довав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просле́довавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просле́дую
2nd Sing,просле́дуешь
3rd Sing,просле́дует
1st Pl,просле́дуем
2nd Pl,просле́дуете
3rd Pl,просле́дуют
Past M,просле́довал
Past F,просле́довала
Past N,просле́довало
Past PL,просле́довали
Imp S,просле́дуй
Imp PL,просле́дуйте
