Infinitive,прострели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прострели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,простре́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прострели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прострели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прострелю́
2nd Sing,простре́лишь
3rd Sing,простре́лит
1st Pl,простре́лим
2nd Pl,простре́лите
3rd Pl,простре́лят
Past M,прострели́л
Past F,прострели́ла
Past N,прострели́ло
Past PL,прострели́ли
Imp S,прострели́
Imp PL,прострели́те
