Infinitive,пролета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пролета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пролета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пролета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пролета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пролета́ю
2nd Sing,пролета́ешь
3rd Sing,пролета́ет
1st Pl,пролета́ем
2nd Pl,пролета́ете
3rd Pl,пролета́ют
Past M,пролета́л
Past F,пролета́ла
Past N,пролета́ло
Past PL,пролета́ли
Imp S,пролета́й
Imp PL,пролета́йте
