Infinitive,прояви́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прояви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прояви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проявлю́сь
2nd Sing,проя́вишься
3rd Sing,проя́вится
1st Pl,проя́вимся
2nd Pl,проя́витесь
3rd Pl,проя́вятся
Past M,прояви́лся
Past F,прояви́лась
Past N,прояви́лось
Past PL,прояви́лись
Imp S,прояви́сь
Imp PL,прояви́тесь
