Infinitive,прони́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прони́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,прони́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прони́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прони́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прони́кну
2nd Sing,прони́кнешь
3rd Sing,прони́кнет
1st Pl,прони́кнем
2nd Pl,прони́кнете
3rd Pl,прони́кнут
Past M,прони́к
Past F,прони́кла
Past N,прони́кло
Past PL,прони́кли
Imp S,прони́кни
Imp PL,прони́кните
