Infinitive,прикле́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикле́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикле́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикле́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикле́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикле́ю
2nd Sing,прикле́ишь
3rd Sing,прикле́ит
1st Pl,прикле́им
2nd Pl,прикле́ите
3rd Pl,прикле́ят
Past M,прикле́ил
Past F,прикле́ила
Past N,прикле́ило
Past PL,прикле́или
Imp S,прикле́й
Imp PL,прикле́йте
