Infinitive,прида́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прида́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,при́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прида́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прида́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прида́м
2nd Sing,прида́шь
3rd Sing,прида́ст
1st Pl,придади́м
2nd Pl,придади́те
3rd Pl,придаду́т
Past M,при́дал
Past F,придала́
Past N,при́дало
Past PL,при́дали
Imp S,прида́й
Imp PL,прида́йте
